date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:28	21539/21539	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2011:19:30%20GMT	https://croptheme.com/toothst/toothst-ltr/contact-us.html	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/contact-us.html	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:29	29529/29529	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2011:19:30%20GMT	https://croptheme.com/toothst/toothst-ltr/privacy-policy.html	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/privacy-policy.html	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:31	16115/16115	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2011:19:30%20GMT	https://croptheme.com/toothst/toothst-ltr/404.html	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/404.html	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:32	34922/34922	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2011:19:30%20GMT	https://croptheme.com/toothst/toothst-ltr/terms-conditions.html	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/terms-conditions.html	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:34	28432/28432	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2011:19:30%20GMT	https://croptheme.com/toothst/toothst-ltr/checkout.html	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/checkout.html	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:34	28889/28889	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2011:49:28%20GMT	https://croptheme.com/toothst/toothst-ltr/products.html	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/products.html	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:34	24221/24221	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2011:19:30%20GMT	https://croptheme.com/toothst/toothst-ltr/product-cart.html	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/product-cart.html	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:36	39987/39987	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2011:19:30%20GMT	https://croptheme.com/toothst/toothst-ltr/product-details.html	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/product-details.html	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:37	18356/18356	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2011:19:30%20GMT	https://croptheme.com/toothst/toothst-ltr/payment.html	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/payment.html	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:37	867/867	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/toothst/toothst-ltr/assets/images/banner/banner-shape-2.png	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/assets/images/banner/banner-shape-2.png	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:38	887/887	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/toothst/toothst-ltr/assets/images/banner/banner-shape-1.png	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/assets/images/banner/banner-shape-1.png	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:38	1867/1867	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/toothst/toothst-ltr/assets/images/icon/icon-2.svg	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/assets/images/icon/icon-2.svg	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:39	2741/2741	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/toothst/toothst-ltr/assets/images/icon/icon-1.svg	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/assets/images/icon/icon-1.svg	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:39	3070/3070	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/toothst/toothst-ltr/assets/images/icon/icon-3.svg	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/assets/images/icon/icon-3.svg	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:41	1832/1832	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/toothst/toothst-ltr/assets/images/icon/icon-4.svg	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/assets/images/icon/icon-4.svg	(from https://croptheme.com/toothst/toothst-ltr/)
10:06:44	32712/32712	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Feb%202023%2021:00:28%20GMT	https://croptheme.com/toothst/toothst-ltr/assets/images/doctors/doctor-1.jpg	D:/mobbasghana/mobbas-ghana/croptheme.com/toothst/toothst-ltr/assets/images/doctors/doctor-1.jpg	(from https://croptheme.com/toothst/toothst-ltr/)
